Category,Sub Category,Sub Sub Category,Link,Product Link,Product,Price,Location,Total Rating,Discount,Color,Storage,Quantity Left,Product detail,Rating&Reviews(Overall),5star,4star,3star,2star,1star,Review
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/apple-iphone-xs-max-i437023038-s640704896.html?search=1,Apple iPhone XS Max,"RM3,099.00",Selangor,35 Ratings,-37%, , ,,"6.5-inch Super Retina display (OLED) with HDR1
IP68 dust and water resistant (maximum depth of 2 metres for up to 30 minutes)2
12MP dual cameras with dual OIS and 7MP TrueDepth front camera — Portrait mode, Portrait Lighting, Depth Control and Smart HDR
Face ID for secure authentication
A12 Bionic with next-generation Neural Engine
Wireless charging — works with Qi chargers3
iOS 12 with Memoji, Screen Time, Siri Shortcuts and Group FaceTime4",4.9/5.0,33,2,0,0,0,"[{'Date': '2020-06-22', 'Time': '21:46 PM', 'Reviewer': 'by Jolyn Y.', 'Comment': 'Original iPhone and fast delivery ', 'Like': '0'}]"
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/poco-f2-pro-6gb-ram128gb-rom-8gb-ram-256gb-rom-smartphone-free-shipping-i1048036526-s2854524581.html?search=1,"POCO F2 Pro (6GB RAM+128GB ROM / 8GB RAM+ 256GB ROM) Smartphone, Free Shipping","RM2,199.00",Malaysia,218 Ratings, ,"Electric Purple
Phantom White
Neon Blue
Cyber Grey","128GB
256GB",,POCO F2 Pro (8GB RAM+ 256GB ROM) Free Shipping,4.9/5.0,212,3,1,0,2,"[{'Date': '2020-06-22', 'Time': '17:48 PM', 'Reviewer': 'by Amir S.', 'Comment': 'safely arrived', 'Like': '0'}]"
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/ready-stock-xiaomi-redmi-note-8-smartphone-4gb-ram-128gb-rom-1-year-warranty-by-xiaomi-malaysia-i691876718-s1498180797.html?search=1,[Ready Stock] Xiaomi Redmi Note 8 Smartphone (4GB RAM + 128GB ROM) 1 Year Warranty by Xiaomi Malaysia,RM679.00,Selangor,609 Ratings,-24%, , ,,"Band 4G / LTE
Dimension 158.3 x 75.3 x 8.4 mm (6.23 x 2.96 x 0.33 in)
Processor Type Qualcomm SDM665 Snapdragon 665 (11 nm)
No of Cores Octa Core
RAM 4GB
Internal Storage 128GB
Card Slot Yes, MicroSD up to 256GB
Display (inches) 6.3
Resolution (px) FULL HD+ 1080 x 2340 pixels
Rear Camera QUAD 48MP+8MP+2MP+2MP
Front Camera 13 MP
Operating System Android 9 (PIE)
Sim Dual SIM
Battery Capacity 4000 mAh Fast battery charging 18W",4.9/5.0,559,27,15,3,5,"[{'Date': '2020-06-22', 'Time': '21:58 PM', 'Reviewer': 'by Syahmina S.', 'Comment': '', 'Like': '0'}, {'Date': '2020-06-22', 'Time': '18:58 PM', 'Reviewer': 'by Liew J.', 'Comment': '', 'Like': '0'}, {'Date': '2020-06-22', 'Time': '08:58 AM', 'Reviewer': 'by Sofia M.', 'Comment': '', 'Like': '0'}]"
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/xiaomi-redmi-note-6-pro-626-inch-fhd-332gb-464gb-4-cameras-global-rom-clearance-stock-sales-i1006326335-s2670014375.html?search=1,XIAOMI REDMI NOTE 6 PRO 6.26 INCH FHD [3+32GB / 4+64GB] 4 CAMERAS (GLOBAL ROM) CLEARANCE STOCK SALES,RM399.00,Malacca,55 Ratings,-50%,Blue,"32GB
64GB",,"6.26 inches,IPS LCD capacitive touchscreen, 16M colors
3GB + 32GB / 4GB + 64GB GLOBAL ROM
1080 x 2280 pixels, 19:9 ratio (~403 ppi density)
Qualcomm SDM636 Snapdragon 636,Octa-core 1.8 GHz Kryo 260
Hybrid Dual SIM (Nano-SIM, dual stand-by)
Dual 12MP+5MP Rear Camera
Dual 20MP+5MP Selfie Camera
Non-removable Li-Po 4000 mAh battery
Fast Charging 10w
Android 8.1 (Oreo), upgradable to Android 9.0 (Pie), MIUI 11",4.9/5.0,51,2,1,1,0,"[{'Date': '2020-06-22', 'Time': '17:02 PM', 'Reviewer': 'by Adrian', 'Comment': 'Good product and value for money', 'Like': '0'}]"
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/2020-new-model-vivo-v15-55inch-4gb-ram-64gb-rom-faceunlock-import-set-i1103372851-s3088090127.html?search=1,2020 NEW MODEL VIVO V15 5.5INCH 4GB RAM 64GB ROM FACEUNLOCK IMPORT SET,RM194.00, ,0 Ratings,-72%,"Purple
black
blue",64GB,,"5.5''
IPS SCREEN
DUAL SIM CARDS DUAL STANDBY
4GB RAM
64GB ROM
SUPPORT WIFI /GPS
SUPPORT MP3/MP4/VIDEO/GAMES/FM
HD CAMERA
PLAYSTORE
FACEBOOK
SMART WAKE UP
FRONT CAMERA 5-6MP
REAR CAMERA 8MP
ANDROID 8.1
2800MAH BATTERY
QUAD-CORE PROCESSOR
FLASHLIGHT",0/5.0,0,0,0,0,0,['']
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/price-down-free-gift-huawei-nova-7i-8128gb-original-malaysia-set-1-year-warranty-by-huawei-malaysia-i814668562-s1906088928.html?search=1,[PRICE DOWN + FREE GIFT!] Huawei Nova 7i (8+128GB) | Original Malaysia Set + 1 Year Warranty by Huawei Malaysia,RM999.00,Selangor,24 Ratings,-9%,"Sakura Pink
Midnight Black
Crush Green",128GB,8,"UPDATE (27/02/2020): Sakura Pink can be shipped out starting 28/02/2020, Green got ready stock.
Android 10.0, EMUI 10
6.4inchesIPS LCDcapacitive touchscreen / 1080 x 2310pixels
HiSilicon Kirin 810/ Octa-core (2x2.7GHz Cortex-A76& 2x1.88GHz Cortex-A55)
8GB RAM and 128GB ROM Storage
Support NM (Nano Memory), up to 256GB (Uses shared SIM slot)
Rear Camera : 48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF + 8 MP, f/2.4, (ultrawide) + 2 MP, f/2.4, 27mm (macro), 1/5.0"", 1.75µm + 2 MP, f/2.4, (depth), LED flash, HDR, panorama
Front Camera : 16 MP, f/2.0, (wide), 1/3.1"", 1.0µm, HDR
Hybrid Dual SIM (Nano-SIM, dual stand-by), 4G LTE
Non-removable Li-Po 4200mAh battery
Fingerprint (side-mounted)
Fast battery charging 40W
*Box will be unsealed for warranty activation and quality inspection purposes",4.9/5.0,21,3,0,0,0,[]
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/realme-6-pro-smartphone-8gb-128gb-6-cameras-with-64mp-90hz-smooth-display-30w-flash-charge-free-shipping-i997420711-s2636338564.html?search=1,"realme 6 Pro smartphone (8GB +128GB) 6 Cameras with 64MP, 90Hz Smooth Display, 30W Flash Charge , Free Shipping","RM1,399.00",Selangor,87 Ratings, ,"Lightning Blue
Lightning Red",128GB,,"Operating System: realme UI Based on Android 10
Screen: 6.6 inches IPS LCD with 90Hz Smooth Display
Resolution: 2400 x 1080 FHD+
Processor: Qualcomm Snapdragon 720G
RAM/Storage: 8GB+128GB
Front: 16MP+8MP
Rear: 64MP+12MP+8MP+2MP
Battery: 4300mAh, 30W Flash Charge
Audio: Dolby Atmos, Hi-Res Audio
SIM Slot: Dual SIM + MicroSD
Sensor: Magnetic induction / Light / Proximity / Gyro-meter / Acceleration",4.9/5.0,81,2,2,1,1,[]
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/now-wfree-gifts-worth-rm350-huawei-nova-5t-8gb-128gb-original-malaysia-set-11-year-warranty-by-huawei-malaysia-i619236038-s2006208052.html?search=1,[Now w/Free Gifts worth RM350+!] HUAWEI Nova 5T (8GB + 128GB) | Original Malaysia Set | 1+1 Year Warranty by HUAWEI Malaysia,"RM1,399.00",Selangor,163 Ratings,-13%,"Green
Purple
Black
Blue",128GB, ,"IPS LCD capacitive touchscreen, 16M colors
6.26 inches, 74.3 cm2
1080 x 2340 pixels, 19.5:9 ratio (~469 ppi density)
Android 9.0 (Pie); Magic 2.1
128GB / 8GB RAM
48MP Five AI Cameras
AI HDR+ for Backlit Shot
Kirin 980 7nm Ai Chipset
GPU Turbo 3.0
22.5W HUAWEI SuperCharge
Box may be unsealed for warranty activation and quality check purposes
*Please note that we do not provide warranty for free gifts (Huawei Band 4)",4.9/5.0,158,3,0,1,1,[]
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/samsung-galaxy-note-10-note-10-plus-4g-5g-smartphone-12gb-ram-256gb-rom-original-imported-i684526730-s3204536912.html?search=1,Samsung Galaxy Note 10 | Note 10 Plus 4G / 5G Smartphone (12GB RAM + 256GB ROM) ORIGINAL- IMPORTED,"RM2,289.00",Federal Territory of Kuala Lumpur,36 Ratings,-38%,"Note 10- GLOW.
Glow
Black- 5G
Glow- 5G
Note 10- BLACK.
Note 10- WHITE.
White- 5G
White
Black",256GB,,"6.8"" Dynamic AMOLED Super HD Plusscreen (6.3'' inch for Note 10)
12GB RAM, 256GB / 512GB ROM (8GB RAM, 256GB ROM for Note 10)
Non-removable Li-Ion 4300 mAh battery (3500 mAh battery for Note 10)
Available in 4G and 5G version for Note 10 Plus.
Come with Fullbox and Fullset.
Android 9.0 (PIE), Samsung One UI, Upgradable to Android 10 (Samsung 2 UI)
Adreno 640 GPU
Octa-Core, 7nm processor
Qualcomm Snapdragon 855 Chipset
SAMSUNG PAY(Visa, MasterCard certified)
NFC, Wireless Charging, Reverse Chaging
Expendable up to 1TB (Micro SD)
Rear Camera: 12.0 MP Wide-angle Camera + 16.0 MP MP Ultra Wide Camera + 12.0 MP Telephoto Camera + ToF
Front Camera : 10 MP,Dual Pixel PDAF
Fingerprint Sensor (under display, ultrasonic)
WiFi + LTE,Bluetooth v5.0
Stereo Speaker,Dolby Atmos sound,Tuned by AKG
Original- ImportedUsed Set.
As new condition.",4.9/5.0,32,3,1,0,0,"[{'Date': '2020-06-22', 'Time': '10:08 AM', 'Reviewer': 'by Lee J.', 'Comment': 'the seller is kind and helpful. product is good but only thg is the headset quality not that good. But the item overall is good. ', 'Like': '0'}]"
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/samsung-galaxy-s10-plus-smartphone-8gb-ram-128gb-rom-original-imported-i531794682-s1054860907.html?search=1,Samsung Galaxy S10 Plus Smartphone (8GB RAM + 128GB ROM) ORIGINAL- IMPORTED,"RM1,799.00",Federal Territory of Kuala Lumpur,64 Ratings,-51%,"Blue
White
Black",128GB,,"Android 9.0 (Pie) + One UI
6.4inches Dynamic AMOLEDCapacitive touchscreen.
Display Ratio 19:9, 16M colour
Qualcomm SDM855 Snapdragon 855 (7 nm),Adreno 640 GPU
8GB RAM and 128GB ROM Storage
Support microSD, up to 1TB
Rear Camera : Triple: 12 MP(wide), Dual Pixel PDAF, OIS + 12 MP, (telephoto), AF, OIS, 2x optical zoom + 16 MP (ultrawide), LED Flash, Auto HDR
Front Camera : Dual: 10 MP (wide), Dual Pixel PDAF + 8 MP (wide), depth sensorPanorama dual video call, auto HDR
Bluetooth Version: v5.0, NFC supported
Samsung DeX (desktop experience support)
Non-removable Li-Ion 4100mAh Battery
Fingerprint (under display)
Original USA Set- Used set
Global Version- Sim Free Phone
Come With Full Box and Full Set.
95% As New Condition.",4.8/5.0,55,4,5,0,0,[]
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/oppo-a5s-3gb-ram-32gb-rom-smartphone-1-year-oppo-warranty-free-shipping-i507998701-s2061478965.html?search=1,OPPO A5s (3GB RAM + 32GB ROM) Smartphone 1 Year OPPO Warranty Free Shipping,RM459.00,Selangor,1093 Ratings,-23%,"Blue
Red
Black",32GB,,"ColorOS 5.2.1 (Based on Android 8.1)
6.2"" Screen MTK MT6765
3GB RAM; 32GB storage
Front: 8MP (F/2.0) Rear: 13MP + 2MP (F/2.2 + F/2.4)
4230mAh (Typ)",4.9/5.0,1010,46,22,6,9,[]
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/hot-model-vivo-y17-pro-63inch-drop-screen-6gb-ram-128gb-rom-fingerprint-unlock-smartphone-full-set-i1089600935-s3023708342.html?search=1,HOT MODEL !!! VIVO Y17 PRO 6.3INCH DROP SCREEN 6GB RAM 128GB ROM FINGERPRINT UNLOCK (SMARTPHONE FULL SET),RM255.00, ,0 Ratings,-72%,"Red
LIGHT BLUE
BLUE",128GB,,"6.3INCH
WATERDROP SCREEN
6GB RAM
128GB ROM
ANDROID 9.1
FACEUNLOCK'
FINGERPRINT UNLOCK
4G LTE
FRONT CAMERA 8MP
REAR CAMEAR 13MP
SUPPORT WIFI/HOTSPORT/BLUETOOTH
BEAUTY CAMERA",0/5.0,0,0,0,0,0,['']
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/apple-iphone-11-128gb-free-shipping-i577808936-s1155404319.html?search=1,"Apple iPhone 11 128GB, Free Shipping","RM3,479.00",Selangor,573 Ratings,-3%,"Black
Green
White
Purple
Red
Yellow",128GB, ,"Redeem your free year of AppleTV+now. * Customer who purchase the Apple iPhone, iPad, TV after 27th of September. *Must redeem it within 3 months!AppleTV+ debuts on November 1. So your free one-year subscription can start on or after that. Here’s how to redeem it:Turn on your new Apple device and sign in with your Apple ID.Open the AppleTV app. Make sure your device is running the latest version of iOS, iPadOS, tvOS, or macOS.The offer should be presented immediately after launching the app. If not, go to theAppleTV+ channel pagewhere you’ll see the offer.Tap Enjoy 1 Year Free.All-new dual-camera system12MP Wide12MP Ultra WideIntroducing Night modeThe highest-quality video in a smartphoneInstantly start shooting video with QuickTakeAmazing Liquid Retina displayDesigned to take a spill. A splash. Even a tumbleAll-day battery lifeFace ID: Easier and more secure than Touch IDAll-new A13 Bionic chip",4.8/5.0,531,17,5,7,13,"[{'Date': '2020-06-22', 'Time': '10:30 AM', 'Reviewer': 'by Lazada Customer', 'Comment': 'super fast delivery. item is brand new, received in good condition and order. legitimate order 👍', 'Like': '0'}, {'Date': '2020-06-22', 'Time': '10:31 AM', 'Reviewer': 'by Lazada Customer', 'Comment': 'Great service from seller. Fast delivery. Everything was great', 'Like': '0'}]"
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/nokia-2720-flip-black-512mb-ram-4gb-rom-i592544249-s1197460910.html?search=1,NOKIA 2720 FLIP BLACK (512MB RAM + 4GB ROM),RM359.00,Selangor,95 Ratings, , , ,,"2.8"" main display & 1.3"" front display
512MB RAM, 4GB ROM
Google Assistant button
2 MP Rear camera with flash
Qualcomm® 205 Mobile Platform
Powered by KaiOS
1500mAh battery -Up to 28 days of standby time from a single charge
Whatsapp and Facebook app available",4.9/5.0,91,3,0,0,1,[]
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/samsung-galaxy-s20-8gb128gb-smartphone-i801062944-s1867110794.html?search=1,Samsung Galaxy S20+ (8GB+128GB) Smartphone,"RM3,999.00",Selangor,85 Ratings, ,"Cosmic Gray
Cosmic Black
Cloud Blue",128GB,,"6.7-Inch Infinity-O Display
64MP High Resolution Camera
3X Hybrid Optic Zoom
30X Super Resolution Zoom
4500mAh Battery",4.8/5.0,78,4,1,1,1,[]
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/huawei-mate-30-pro-8gb-ram-256-rom-smartphone-free-wireless-car-charger-i651758308-s1380710058.html?search=1,HUAWEI Mate 30 Pro 8GB RAM + 256 ROM SMARTPHONE + FREE Wireless Car Charger,"RM3,599.00",Selangor,2 Ratings, ,"Black
Space Silver",256GB,,"GeneralModel Name: Huawei Mate 30 Pro
Colour: Black, Space Silver, Orange 5G
Dimensions :158.1 x 73.1 x 8.8 mm
In The Box:Handset, Headset, Charger, Back Casing, Type-C Cable, Quick Start Guide & Safety Information
Weight:Approx 198 g",4.5/5.0,1,1,0,0,0,[]
